question,answer
هل يجوز مشاركة الدعاء مع الآخرين بصوت واحد,الأفضل الانفراد بالدعاء، لا الجهر الجماعي
هل كثرة الدعاء في الحج علامة القبول,لا تعرف علامات القبول يقينا، لكن الإقبال على الدعاء علامة خير وصدق نية
متى يُفضل الوصول إلى المطار للسفر إلى الحج,يفضل الوصول قبل موعد الرحلة ب ساعات على الأقل لإنهاء الإجراءات
ما المستندات المطلوبة في المطار للحجاج,جواز السفر، التأشيرة، بطاقة الحاج، تذكرة الطيران، شهادة التطعيم
هل يمكن السفر إلى السعودية بجواز سفر منتهي,لا، يجب أن يكون الجواز ساريا لمدة لا تقل عن أشهر
هل توجد حقائب أو وزن محدد للحجاج,نعم، كل شركة طيران لها وزن محدد غالبا بين كجم، ويفضل التأكد مسبقا
هل يمكن اصطحاب أدوية شخصية,نعم، مع وصفة طبية إن كانت أدوية خاصة أو ممنوعة عالميا
ما الممنوع حمله في حقيبة اليد داخل الطائرة,السوائل فوق مل، الأدوات الحادة، المواد القابلة للاشتعال
هل توجد خدمات خاصة لكبار السن والمعاقين في المطار,نعم، يمكن طلب خدمة الكرسي المتحرك أو المساعدة من شركة الطيران
هل مسموح باصطحاب ماء زمزم من السعودية,نعم، عادة يسمح بعبوة لتر مجانا عبر منافذ معتمدة
هل تأشيرة العمرة تختلف عن تأشيرة الحج,نعم، تأشيرة الحج تصدر في موسم معين ولها ترتيبات خاصة
هل يوجد تطبيق إلكتروني رسمي يساعد في التنقل بالمطار والحج,نعم، مثل تطبيق نسك وتوكلنا واعتمرنا
كيف ينتقل الحاج من المطار إلى مكة أو المدينة,عبر الحافلات الرسمية لحملات الحج، أو سيارات الأجرة المرخصة
هل توجد قطارات بين مكة والمدينة,نعم، قطار الحرمين السريع يربط بين مكة، المدينة، جدة بسرعة عالية
هل وسائل النقل مكيفة ومريحة,نعم، معظم وسائل النقل للحجاج مجهزة بالتكييف والخدمات الأساسية
هل يمكن استخدام التطبيقات مثل أوبر أو كريم,نعم، متوفرة في السعودية، لكن قد تقيد في بعض المناطق خلال موسم الحج
ما الوسيلة المستخدمة للتنقل بين المشاعر (منى - مزدلفة - عرفات),عبر حافلات الحملات أو قطار المشاعر
هل التنقل بين المشاعر مجانًا,ضمن باقة الحج المدفوعة، لا يطلب دفع إضافي
متى تبدأ رحلات قطار المشاعر,من يوم ذي الحجة التروية حتى نهاية الحج
هل هناك خرائط أو تطبيقات لمعرفة طريق المشاعر,نعم، تطبيق خرائط الحج ومكة الذكية توفر إرشادا دقيقا
هل مسموح بالدراجات أو وسائل نقل شخصية,لا، غير مسموح في الحج لأسباب تنظيمية وأمنية
هل يمكن التنقل لزيارة المدينة بعد انتهاء الحج,نعم، بشرط أن تكون الزيارة ضمن برنامج التأشيرة الخاص بالحاج
ماذا أفعل إذا ضاعت أمتعتي في المطار,التوجه لقسم الأمتعة بالمطار وتقديم بلاغ فورا
ماذا أفعل إذا ضعت في أحد المشاعر,التواصل مع أفراد الأمن أو التوجه لأقرب مركز إرشاد الحجاج
هل يوجد شرطة خاصة بالحجاج,نعم، هناك شرطة الحج والأمن العام مخصصة لخدمة الحجاج
هل أحتاج لحمل جواز السفر طوال الوقت,يفضل حمل صورة فقط، وترك الأصل في مكان آمن
ماذا أفعل إذا فقدت جواز السفر,إبلاغ البعثة الرسمية أو القنصلية فورا لاستخراج بدل فاقد
هل هناك نقاط تفتيش في الطريق بين مكة والمدينة,نعم، لأغراض أمنية وتنظيمية
هل يوجد اتصال مجاني داخل المشاعر,بعض الشركات تقدم شرائح مجانية أو مخفضة للحجاج
هل يتوفر الإنترنت في المشاعر,نعم، تغطية الجيل الرابع متوفرة، لكن قد تضعف في الزحام
هل أحتاج لتفعيل تجوال دولي,ليس ضروريا إذا اشتريت شريحة محلية، وهو الخيار الأرخص غالبا
هل هناك إسعاف أو طوارئ في التنقلات,نعم، سيارات إسعاف مرافقة وأطقم طبية في كل محطة
هل الأفضل السفر ضمن حملة أم بشكل فردي,الأفضل حملة منظمة لتسهيل التنقل والإقامة والمناسك
هل أحتاج بطاقة SIM سعودية,نعم لتسهيل التواصل، وتتوفر في المطار أو الأسواق
هل توجد مواقف للحافلات قريبة من الحرم,نعم، لكن تمنع أحيانا السيارات الخاصة لدواعي التنظيم
هل أحتاج بطاقة خاصة لركوب القطار,نعم، توزع مسبقا ضمن باقات الحملة أو تحجز إلكترونيا
هل يرافقني مرشد في التنقلات,نعم ضمن حملات الحج المعتمدة
متى يُمنع التنقل بين مكة والمدينة,أحيانا في أوقات الذروة التنظيمية خلال الحج
هل يمكن ركوب التاكسي من المشاعر للحرم,غالبا لا يسمح أثناء أيام التشريق، إلا للحالات الخاصة
هل هناك ساعات ذروة في الطريق للمشاعر,نعم، ويفضل التنقل حسب جدول الحملة لتفادي الزحام
هل توفر السعودية مواصلات للحجاج الأفراد,نعم، لكن مع قيود زمنية وأمنية، والأفضل حملة منظمة
هل توجد رسوم على المواصلات,تحسب ضمن رسوم الباقة أو الرحلة مسبقا
هل يمكن الاعتماد على Google Maps في التنقل,مفيد لكنه لا يظهر بعض الحواجز والتنظيمات الأمنية
هل أحتاج إلى تطبيقات ترجمة,مفيد للحجاج غير العرب، مثل
هل توجد أكشاك للاستفسارات في المحطات,نعم، في كل محطة وموقع مشاعر يوجد مركز إرشاد
متى يغلق الطريق إلى عرفات,عادة قبل الزوال بوقت لتنظيم الدخول، حسب تعليمات كل عام
هل يمكنني تغيير وسيلة المواصلات المقررة,نادرا، ويشترط إذن الحملة والمسؤولين
هل هناك متطوعون يساعدون في المطار,نعم، متطوعو سندكم وفرق وزارة الحج في الخدمة
هل يجب تسجيل بياناتي عند الوصول,نعم، تتم رقمنة بيانات الحجاج منذ دخولهم الأراضي المقدسة
هل أحتاج تأمين سفر,التأمين الصحي للحج أصبح إلزاميا ومشمولا في التأشيرة
هل يُسمح بالخروج من الفندق دون تصريح,ينصح بالالتزام بجداول الحملة، خاصة أيام المشاعر
هل التنقل للحرم متاح طوال اليوم,نعم، لكن قد تغلق الطرق مؤقتا وقت الزحام والصلاة
ما هي أهمية تناول الطعام الصحي في الحج,للحفاظ على الطاقة والصحة طوال فترة الحج، ولتجنب الإصابة بالأمراض
هل يجوز تناول الطعام من المطاعم المحلية في مكة والمدينة,نعم، ولكن يجب التأكد من أن الطعام متوافق مع الشروط الصحية ومطاعم موثوقة
ما هي الأطعمة التي يفضل تناولها في الحج,الأطعمة الغنية بالكربوهيدرات مثل الأرز والخضروات واللحوم الخفيفة لتوفير الطاقة
هل يمكن تناول المياه المعبأة في الزجاجات أثناء الحج,نعم، يفضل تناول المياه المعبأة لضمان نقاوتها وتجنب التلوث
ما هي مخاطر تناول الطعام غير الطازج أثناء الحج,يمكن أن يؤدي إلى التسمم الغذائي أو الإصابة بالإسهال والقيء
هل يجب تجنب بعض الأطعمة في الحج,نعم، يجب تجنب الأطعمة الثقيلة والمشروبات الغازية التي قد تسبب عسر الهضم
ما هي الأطعمة التي تساعد على الحفاظ على النشاط أثناء الطواف والسعي,الفواكه الطازجة، والمكسرات، والتمر، والمياه، فهي توفر طاقة سريعة
هل يمكن تناول الطعام أثناء أداء المناسك,يفضل تأجيل تناول الطعام أثناء أداء المناسك لتجنب الشعور بالثقل أو الإرهاق
هل يُسمح بتناول الطعام في الحرم أثناء الصلاة,يفضل الامتناع عن تناول الطعام أثناء الصلاة في الحرم للحفاظ على التركيز، ولكن لا يوجد حظر شرعي
هل يمكن تناول الطعام أثناء السعي بين الصفا والمروة,يفضل تأجيل الطعام حتى الانتهاء من السعي، ولكن إذا كان ضروريا يمكن تناوله
هل من الآمن تناول الطعام في مطاعم مكة,نعم، ولكن يجب التأكد من أن المطاعم مرخصة وتخضع لمعايير النظافة
هل يوجد أطعمة خاصة يجب تناولها بعد رمي الجمرات,يفضل تناول وجبات خفيفة مثل الخبز والتمر بعد رمي الجمرات لتعويض الطاقة
كيف يمكن تجنب الإسهال خلال الحج بسبب الطعام,بتناول الطعام المطبوخ جيدا، وتجنب الأطعمة غير المضمونة أو غير المطهية جيدا
ما هي الأطعمة التي تساعد على الهضم بعد تناول الطعام,الزبادي، الشاي الأخضر، الأطعمة الغنية بالألياف مثل الخضروات والفواكه
هل هناك مشروبات يجب تجنبها في الحج,يفضل تجنب المشروبات الغازية والعصائر المعلبة التي قد تؤدي إلى الانتفاخ والغازات
كيف يمكن تخزين الطعام أثناء التخييم في منى,يجب حفظ الطعام في أماكن مبردة ومغطاة جيدا لمنع التلوث
هل يمكن تناول الطعام من الباعة المتجولين في مكة,يفضل تجنب الطعام من الباعة المتجولين لتفادي المخاطر الصحية
هل هناك أطعمة تساعد على الحفاظ على مستوى الطاقة في أيام الزحام,الأطعمة الغنية بالبروتين مثل اللحوم المشوية، والبيض، والفواكه المجففة تساعد في الحفاظ على مستوى الطاقة
ما هي العلامات التي تدل على أن الطعام فاسد,تغير اللون، الروائح الكريهة، والتغير في الملمس هي علامات تدل على فساد الطعام
كيف يمكن تجنب الإصابة بالتسمم الغذائي في الحج,بتناول الطعام من أماكن موثوقة، والابتعاد عن الأطعمة المكشوفة، والحفاظ على النظافة الشخصية
ما هو أفضل وقت لتناول الوجبات خلال يوم الحج,يفضل تناول الوجبات الخفيفة قبل أو بعد أداء المناسك لتجنب الشعور بالتخمة أثناء العبادة
هل يمكن تناول المشروبات الساخنة أثناء الحج,نعم، ولكن يجب التأكد من أن المشروبات ليست حارة جدا لتجنب حروق الفم أو المعدة
هل من الآمن تناول العصائر الطازجة في مكة,يجب التأكد من أن العصائر يتم تحضيرها تحت ظروف صحية وباستخدام مياه نقية
كيف يمكن الحفاظ على الترطيب في الحج,بشرب الكثير من الماء خلال اليوم وتناول المشروبات التي تحتوي على معادن مثل الماء مع الليمون أو مشروبات الطاقة
هل يختلف الطعام في الحج عن الطعام العادي,نعم، يجب أن يكون الطعام في الحج خفيفا وسهل الهضم ليتناسب مع النشاط البدني الكبير
هل هناك أطعمة معينة تساعد على تقوية المناعة أثناء الحج,الأطعمة الغنية بفيتامين مثل البرتقال والفواكه الحمضية، بالإضافة إلى الأطعمة التي تحتوي على الزنك مثل المكسرات واللحوم
هل يمكن تناول الطعام في وقت متأخر أثناء الحج,يفضل تجنب تناول الطعام في وقت متأخر لتجنب مشكلات الهضم أثناء المناسك
ما هي الأطعمة التي يجب تجنبها خلال أداء الطواف,يجب تجنب الأطعمة الثقيلة مثل اللحوم الدسمة أو الوجبات المقلية، التي قد تسبب انتفاخا أو شعورا بالثقل
هل هناك أطعمة معينة يجب تناولها في أيام العيد,يفضل تناول اللحوم الطازجة وتجنب الأطعمة الحارة أو الثقيلة
كيف يمكن الحفاظ على الطعام أثناء رحلة العودة من الحج,يجب تخزين الطعام في عبوات محكمة الإغلاق وتبريده إن أمكن، لتجنب فساده أثناء الرحلة
هل من الأفضل تناول الطعام قبل الإحرام أو بعده,يفضل تناول الطعام قبل الإحرام، لأن تناول الطعام بعده قد يشعرك بالثقل أثناء أداء المناسك
ما هي الأطعمة التي تساعد على تعزيز الطاقة في أيام الزحام,المكسرات، الفواكه المجففة، والوجبات الخفيفة الغنية بالبروتين
هل يمكن تناول الأطعمة السريعة مثل البرجر أثناء الحج,يفضل تجنب الأطعمة السريعة لأنها قد تؤدي إلى مشاكل في الهضم أو التسمم الغذائي
ما هي أهمية الأطعمة الخفيفة خلال أيام الحج,الأطعمة الخفيفة تمنح الجسم الطاقة دون أن تؤدي إلى الشعور بالتخمة أو التعب
كيف يمكن تناول الوجبات بشكل صحي في مكة,تناول الطعام في الأماكن التي تلتزم بالمعايير الصحية، واختيار الأطعمة الطازجة والمطهوة جيدا
هل يمكن تناول الطعام من البوفيهات المفتوحة في الفنادق,نعم، ولكن يجب التأكد من نظافة المكان وطريقة تحضير الطعام
ما هي النصائح للحفاظ على صحة الجهاز الهضمي أثناء الحج,تناول الأطعمة المعتدلة في الكمية والنوعية، والابتعاد عن المأكولات الحارة أو الدسمة
هل يمكن تناول المعلبات خلال الحج,يفضل تجنب المعلبات إذا كانت قد مر عليها وقت طويل أو كانت غير محكمة الإغلاق
كيف يمكن تجنب العطش الشديد في أيام الحج الحارة,بشرب كميات كبيرة من الماء وتناول مشروبات تحتوي على المعادن مثل المياه المعدنية
هل يمكن تناول الحلوى أثناء الحج,يمكن تناول الحلوى بكميات معتدلة، ولكن يجب تجنب الإفراط فيها لعدم الشعور بالخمول
هل يمكن تناول اللحوم المطهوة في المساكن أو الخيم,نعم، ولكن تأكد من طهيها جيدا لضمان سلامتها
   ما هي مناسك الحج,الاجابة مناسك الحج تشمل الإحرام، الطواف، السعي، الوقوف بعرفة، المبيت بمزدلفة، رمي الجمرات، والتحلل
ماذا أفعل اذا حدث وانقطع الطواف,الإجابة إذا كان لصلاة فيكمل من بعدها طوافه من مكان وقوفه ولا يلزمه الرجوع إلي الحجر الأسود؛ اما لو لشئ آخر أفقده وضوءه يذهب فليتوضأ ويكمل طوافه
ماذا أفعل اذا توقفت بين الصفا والمروة,الاجابة إذا كان لصلاة فيكمل من بعدها سعيه؛ اما لو لشئ آخر أفقده وضوءه يذهب فليتوضأ ويكمل سعيه
ما هي الأعمال المستحبة في يوم التروية,الإجابة يستحب الذاهب إلى منى الاغتسال، ثم يلبس ملابس الإحرام، وليكثر الحاج من التلبية، والذهاب إلي منى والمبيت بها في هذا اليوم سنة
ماذا أفعل إذا لم أستطيع الوصول إلى عرفة,الإجابةالوقوف بعرفة ركن من أركان الحج ، بل هو ركنه الأعظم ؛ لقول الرسول صلى الله عليه وسلم الحج عرفة ، فمن أدرك ليلة عرفة قبل طلوع الفجر من ليلة جمع فقد تم حجه رواه الترمذي
ما هو دعاء يوم عرفة,الإجابة النبي صلى الله عليه وآله وسلم قال خير الدعاء دعاء يوم عرفة، وخير ما قلت أنا والنبيون من قبلي لا إله إلا الله وحده لا شريك له، له الملك وله الحمد، وهو على كل شيء قدير رواه الترمذي
أين يمكنني رمي الجمرات,الاجابة يمكنك رمي الجمرات في جسر الجمرات بمنطقة منى
ما هي أوقات رمي الجمرات,الإجابة خلال أول وثاني أيام التشريق، يقوم الحاج برمي الجمرات الثلاث متعاقبة الصغرى حصيات، والوسطى حصيات، والكبرى حصيات في كل يوم، بدءا من وقت الزوال وحتى غروب الشمس، بمجموع حصاة في اليوم الأول وكذلك نفس العدد في اليوم الثاني، ويكبر مع كل حصاة، ثم يقف للدعاء، عدا جمرة العقبة الكبرى فينصرف بعد الرمي مباشرة
أيهما اولى: الحلق أم التقصير,الإجابة الأفضل الحلق في العمرة والحج جميعا؛ لأن الرسول دعا للمحلقين ثلاثا بالمغفرة والرحمة، وللمقصرين واحدة، فالأفضل الحلق، لكن إذا كانت العمرة قرب الحج فالأفضل فيها التقصير حتى يتوفر الحلق في الحج؛ لأن الحج أكمل من العمرة فيكون الأكمل للأكمل
هل طواف الإفاضة ركن أم واجب,الإجابة طواف الإفاضة ركن، لا بد منه، الذي تركه يعود إذا سافر، ولم يطف طواف الإفاضة، طواف الحج يعود، سواء الرجل وإلا المرأة، ما يتم حجه إلا يعود ويطوف، ولو كانت امرأة وأتاها زوجها قبل أن تطوف يكون عليها دم، يذبح في مكة للفقراء، مع التوبة، وإن كان زوجها ما طاف كذلك عليه دم أيضا، والتوبة إلى الله
ما حكم من لم يستطع أداء ركن من أركان الحج,الإجابة الأركان جمع الركن وهو ما يتوقف عليه صحة العمل وهو جزء منه، أما الركن في الحج فهو الذي لا يتم الحج إلا به، فمن ترك ركنا من أركان الحج فإنه لم يتم حجه، حتى يأتي به أما واجبات الحج فهي ما يجزئ الدم بتركها
ه‍ل يجوز الخروج من مكة مباشرة بعد طواف الوداع,الإجابة نعم، يجوز الخروج من مكة بعد طواف الوداع
ما أنواع الإحرام,فالإفراد هو أن يحرم الحاج بالحج مفردا، فإذا وصل مكة طاف للقدوم، ثم إن شاء سعى للحج أو أخر السعى إلى بعد طواف الإفاضة، ولا يحلق ولا يقصر ولا يتحلل من إحرامه إلا بعد رمى جمرة العقبة ويحلق يوم العيد ولا يجب عليه هدى والقران هو أن يحرم الحاج بالعمرة والحج معا، فإذا وصل مكة طاف للقدوم، ثم إن شاء سعى للحج أو أخر السعى إلى بعد طواف الإفاضة، ولا يحلق ولا يقصر ولا يتحلل من إحرامه إلا بعد رمى جمرة العقبة ويحلق يوم العيد ويجب عليه الهدى والتمتع هو أن يحرم الحاج بالعمرة أولا فى أشهر الحج ، فإذا وصل مكة طاف وسعى للعمرة، وحلق أو قصر وتحلل من إحرامه، فإذا كان يوم التروية الثامن من ذى الحجة أحرم بالحج وحده، وأتى بجميع أفعال الحج ويجب عليه الهدى
هل عمرة رمضان تغني عن الحج,روى الإمام مسلم أن النبى صلى الله عليه وسلم قال عمرة فى رمضان تعدل حجة، وفى رواية تعدل حجة معى ومثال ذلك ما ورد من أن الصلاة الواحدة فى المسجد الحرام بمكة تعدل مائة ألف صلاة فيما سواه فلا يجوز أن يتبادر إلى الذهن أن صلاة يوم فى الحرم تغنى عن صلاة مائة ألف يوم، ولا داعى للصلاة بعد ذلك، فالعدل أو المساواة هنا هو فى الثواب فقط، وهذا فضل الله يؤتيه من يشاء والله واسع عليم، وهو سبحانه يرغب فى أداء العبادات من صلاة وصوم وزكاة وحج فى الحرم الشريف، فثواب الطاعة فيه مضاعف وعليه فلا تغنى العمرة عن الحج أبدا ومثل ثواب العمرة فى رمضان ما رواه الترمذى عن أنس رضى الله عنه أن النبى صلى الله عليه وسلم قال من صلى الصبح فى جماعة ثم قعد يذكر الله حتى تطلع الشمس، ثم صلى ركعتين كانت له كأجر حجة وعمرة، قال أنس قال رسول الله صلى الله عليه وسلم تامة تامة، فالمراد من ذلك الترغيب فى الثواب، وليس جواز الاكتفاء بفريضة عن فريضة
إذا حج المسلم عن أبيه أو غيره، فهل يجوز له أن يدعو لنفسه,يجوز للمسلم الذى يحج عن غيره أن يدعو لنفسه فى العمرة والحج، ولمن حج عنه ولمن شاء من المسلمين، لأن المقصود أن يأتى بأفعال العمرة والحج، لمن أراده له أما مسألة الدعاء فإنه ليس بركن ولا بشرط فى العمرة والحج، فيجوز أن يدعو لنفسه، ولمن كان له هذا الحج، أو كانت له هذه العمرة، ولجميع المسلمين
ما الحكم فيمن تجاوز الميقات دون إحرام وهو يريد العمرة,الحج له ميقات مكانى كما أنه له ميقات زمانى، ومواقيت الحج المكانية ذو الحليفة ميقات أهل المدينة وتسمى اليوم بأبيار على الجحفة ميقات أهل مصر والشام ومن مر بها، ويسمى ب رابغ قرن المنازل ميقات لأهل نجد والطائف ومن مر به، ويعرف الآن بالسيل الكبير يلملم ميقات لأهل اليمن ومن مر به، ويعرف الآن بالسعدية قال ابن عباس إن النبى وقت لأهل المدينة ذا الحليفة ولأهل الشام الجحفة، ولأهل نجد قرن المنازل، ولأهل اليمن يلملم، وقال هن لهن ولمن أتى عليهن من غيرهن، فمن أراد الحج والعمرة، ومن كان دون ذلك فمن حيث أنشأ حتى أهل مكة من مكة متفق عليه والبعض جعل ميقاتا خامسا لأهل العراق ذات عرق فيجب على الحاج أن يحرم منها أو بمحاذاتها ففى الحديث يهل أهل المدينة من ذى الحليفة البخارى وكلمة يهل خبر بمعنى الأمر، وعلى هذا فيجب على من أراد الحج أو العمرة إذا مر بالميقات أن يهل منه، ولا يتجاوزه، فإن فعل وتجاوز وجب عليه أن يرجع ليحرم منه، وإذا رجع وأحرم منه فلا فدية عليه، فإن أحرم من مكانه ولم يرجع فعليه عند أهل العلم فدية يذبحها ويوزعها على فقراء مكة، ثم يتم سائر نسكه
هل للإحرام صلاة تخصه,ليس للإحرام صلاة تخصه، لكن إذا وصل الإنسان إلى الميقات، وهو قريب من وقت الفريضة، فالأفضل أن يؤجل الإحرام حتى يصلى الفريضة ثم يحرم، أما إذا وصل إلى الميقات فى غير وقت الفريضة فإنه يغتسل كما يغتسل من الجنابة ويتطيب ويلبس ثياب الإحرام، ثم يصلى صلاة الضحى أو سنة الوضوء أو تحية المسجد، ثم يحرم بعد ذلك، ولكن ليس للإحرام صلاة خاصة، فإن ذلك لم يرد عن النبى صلى الله عليه وسلم
البعض يغير فى بياناته الشخصية ليتمكن من الحج، فهل حجه صحيح,الحج هو الركن الخامس من أركان الإسلام قد فرضه الله مرة فى العمر على المستطيع والاستطاعة تتحقق متى كان المسلم قادرا بدنيا وماليا على أداء فريضة الحج، فإن عجز عن أداء أعمال الحج لمرضه أو شيخوخته أو ما يشبه ذلك، وكانت عنده القدرة المالية، وجب عليه أن يرسل غيره ليؤدي عنه الحج، وإن لم تتوافر له الراحلة والزاد فليس عليه الحج فالمسلم ما دام غير قادر على أداء فريضة الحج، فإنه لا حج عليه، لأنه غير مستطيع وغير قادر، فلا داعى إذا للتغيير فى الأوراق للذهاب إلى الحج، لأن هذا مخالفا للوائح والقوانين فى الدولة ويسبب الزحام الشديد، وإن كان الحج صحيحا إلا أنه فيه مخالفة ولى الأمر
هل يجوز الاقتراض من أجل الحج,إن شريعة الإسلام تقوم على اليسر والسماحة ورفع الحرج، قال الله تعالى يريد الله بكم اليسر ولا يريد بكم العسر البقرة ، وما جعل عليكم فى الدين من حرج الحج وبالنسبة لفريضة الحج فقد بين الله بيانا واضحا أنها على المستطيع لأدائها حيث قال ولله على الناس حج البيت من استطاع إليه سبيلا سورة آل عمران وقد فسر النبى صلى الله عليه وسلم هذه الاستطاعة والقدرة على أداء فريضة الحج بالتملك للزاد والراحلة، أى بأن يملك المسلم البالغ العاقل من المال ما يكون فائضا عن نفقته الضرورية، ونفقة من هم تحت ولايته، مدة ذهابه وإيابه وإقامته لأداء مناسك الحج وعليه فلا ينبغى للمسلم أن يستدين لأداء فريضة الحج لأن الله هو القائل لا يكلف الله نفسا إلا وسعها البقرة ومع ذلك فقد قال كثير من الفقهاء إن الإنسان إذا اقترض من أجل الحج وأدى هذه الفريضة وكان عنده ما يستطيع أن يسدد به هذا القرض، وسداده على شهور بعد أداء الفريضة لا يؤثر على نفقته هو ومن تحت ولايته، فالفرض جائز، والحج صحيح بإذن الله، وتسقط فريضة الحج عنه
 ما هو حكم الإشتراك فى الهدي ,في ما يتعلق بالاشتراك في الهدي فقد اختلف فيه أهل العلم فمنهم من منعه ومنهم من أباحه، وممن قال بالمنع المالكية ومنعوه مطلقا سواء كان هديا واجبا أو تطوعا قال خليل بن إسحاق ممزوجا بشرح الدردير له ولا يشترك أي لا يصح الاشتراك في هدي واجبا أو تطوعا تنبيه ؛ من قال بجواز الاشتراك في الهدي قالوا يكون ذلك فى الإبل والبقر ، أما الشاة فلا تجزي إلا عن شخص واحد
من أين يكون  الإحرام بالحج يوم التروية  ,بعض الناس يعتقد أنه يجب أن يحرم من المسجد الحرام، فتجده يتكلف ويذهب إلى المسجد الحرام ليحرم منه ، وهذا ظن خطأ ؛ فإن الإحرام من المسجد الحرام لا يجب بلالسنة أن يحرم بالحج من الذي هو نازل فيه ، لأن الصحابة الذين حلوا من العمرة بأمر النبي صلى الله عليه وسلم ثم أحرموا بالحج يوم التروية ، لم يأتوا إلى المسجد الحرام ليحرموا منه ؛ بل أحرم كل إنسان منهم من موضعه ، وهذا في عهد النبي صلى الله عليه وسلم ، فيكون هذا هو السنة ، فالسنة للمحرم بالحج أن يكون إحرامه من المكان الذي هو نازل فيه ، سواء كان في مكة أو في منى ، كما يفعله بعض الناس الآن حيث يتقدمون إلى منى من أجل حماية الأمكنة لهم
هل على الحاج ، صلاة جمعة وصلاة العيد ,قال الإمام مالك في المدونة لا جمعة بمنى يوم التروية ولا يوم النحر ولا أيام التشريق، ولا يصلون صلاة العيد قال الإمام الشافعي رحمه الله في الأم ولا يصلي أهل منى صلاة الأضحى ولا الجمعة، لأنها ليست بمصر اه قال النووي في المجموع لا يصلون الجمعة بمنى ولا بعرفات، لأن من شروط الجمعة دار الإقامة ؛ الحاج تسقط عليه صلاة الجمعة وصلاة العيد
هل يجوز للمحرم  أن يغير  لباس الإحرام أو يغسله ,يجوز للمحرم أن يغير لباس الإحرام أو أن يغسله ، ولأن فى منع تغيير اللباس أو غسله حرج ، والحرج مرفوع ، وربما تعلق باللباس شئ من النجاسات أو الأوساخ فيؤذي بها الناس ، وإلحاق الأذي بالناس حرام
طواف المصاب بمرض السلس أو المصاب بكثرة الغازات ,الصحيح أن الوضوء شرط فى صحة الطواف ،فمن انتقض وضوءه أثناء الطواف ويلزمه أن يعيد الوضوء والطواف من جديد وهذا الحكم خاص اماالمريض؛ بسلس البول الإنسان الي مايقدرش يحكم البول أو الإنسان الي عندوا كثرة الغازات مايقدرش يحكم الريح أن يتوضأ عند الشروع فى الطواف ويتمه ولو خرج منه البول أو الريح ، ولكن لايصلي به الركعتين بعد الطواف حتى يتوضأ فإن ولاشيء عليه
كيف يتحقق الوقوف الركن والواجب بعرفة ,أولا ركن عرفة يتحقق الوقوف الركن بالحضور قدر الجلسة بين السجدتين من غروب شمس يوم عرفة الي طلوع الفجر مطمئنا وذلك بمباشرة أرض عرفة أو ماتصل بها فلايكفى الوقوف فى الهواء كمن كان فى طائرة مروحية فوق صعيد عرفات على أية حالة كان المحرم ، واقفا أو جالسا او راكبا أو متكئا أو نائما أو مغمى عليه او مريضا أو راكبا فى سيارة إسعاف ؛المار بأرض عرفة يدخلها ثم يخرج منها بدون بها يجزئه ذلك النية ؛ العلم بأنه بأرض عرفة وفى هذه الحالة يجب على الحاج لفقده واجب فى الوقوف الركن ، إذ أنه يجب فى الوقوف الركن الطمأنينة بقدر الجلسة بين السجدتين فترك الطمأنينة يلزم فيه الدم أما من استقر وطمأن فلايشترط فيه العلم ولا النية ولو كان مغمى عليه او نائما واجب عرفة ؛ يتحقق الوقوف الواجب بعرفة بالحضور قدر الجلسة بين السجدتين من بعد الزوال إلى غروب الشمس ويبقي سؤال آخر يطرح أين يتحقق ركن وواجب الوقوف بعرفة و ؛ يتحقق الوقوف الركن أو الواجب بكل أرض عرفة ، ولايشترط الذهاب الي جبل الرحمة عرفة ، لأن عرفة كلها موقف
هل يقصر الحاج الصلاة يوم التروية بعرفة ,يتعين إتمام الصلاة بدون تقصير للحاج يوم التروية فى غير منى من ذهب يوم التروية إلى من ذهب يوم التروية إلى
حكم وضع الحفاضات  اثناء الطواف ( المريض الذي لايستطيع التحكم فى البول ) ,بامكان المريض وضع الحفاضات وهو محرم ولا إثم عليه فى ذلك ، وإنما يلزمه لقوله تعالي ولا تحلقوا رءوسكم حتى يبلغ الهدي محله فمن كان منكم مريضا أو به أذى من رأسه ففدية من صيام أو صدقة أو نسك
هل يشترط إيقاع طواف الإفاضة يوم العيد ( النحر ) بعد رمي جمرة  العقبة مباشرة  ,لايشترط إيقاع طواف الإفاضة يوم العيد مباشرة بعد رمي جمرة العقبة ، بل إن ايقاعه فى هذا التوقيت ويمتد آخر وقته الإختياري الي اخر يوم من شهر ذي الحجة اما اذا أداه الحاج بعد ذي الحجة فإن ماينصح به الحاج، هو أن يمكث بمنى حتى يستكمل شعائرها من مبيت ومن رمي ثم يؤدي طواف الافاضة عند رجوعه إلى مكة قبل انقضاء وقته الاختياري وذلك مراعاة وتخفيفا على الضعفة وكبار السن
من شك فى عدد أشواط الطواف  ,من شك فى عدد أشواط الطواف لايخلوا من الحالتين اذا كان الإنسان غير مستنكح بالشك ، يبني على على اليقين، ويزيد على ماشك فيه ؛ إن يكون شكه مستمرا ، وفى هذه الحالة يبني على كالصلاة قال الشيخ عليش مبينا ضابط من استنكحه الشك ضابط استنكاح الشك إتيانه كل يوم ولو مرة سواء اتفقت صفة إتيانه أو اختلفت، كأن يأتيه يوما في نيته، ويوما في تكبيرة إحرامه، ويوما في الفاتحة، ويوما في الركوع، ويوما في السجود، ويوما في السلام ونحو ذلك، فإن أتاه يوما وفارقه يوما فليس استنكاحا
